complaint_id,complaint_text,area,department,priority,eta_days
1,Irregular water supply in Hadapsar,Hadapsar,Sanitation,High,4
2,Garbage not collected in Viman Nagar,Viman Nagar,Waste Management,Medium,4
3,Irregular water supply in Wagholi,Wagholi,Road Maintenance,Low,4
4,No electricity since morning in Camp,Camp,Sanitation,Low,2
5,Overflowing garbage bin in Wagholi,Wagholi,Waste Management,Medium,6
6,Overflowing garbage bin in Aundh,Aundh,Water Supply,Medium,2
7,Garbage not collected in Kharadi,Kharadi,Road Maintenance,Medium,3
8,Water leakage reported in Pimpri,Pimpri,Waste Management,Medium,7
9,Drainage system is blocked in Camp,Camp,Waste Management,High,4
10,No electricity since morning in Viman Nagar,Viman Nagar,Waste Management,Low,3
11,Overflowing garbage bin in Camp,Camp,Road Maintenance,Medium,2
12,Open manhole reported in Aundh,Aundh,Water Supply,Medium,7
13,Road has major potholes in Pimpri,Pimpri,Electricity,High,4
14,Overflowing garbage bin in Kharadi,Kharadi,Waste Management,Medium,1
15,Streetlight not working in Pimpri,Pimpri,Water Supply,High,4
16,Drainage system is blocked in Pimpri,Pimpri,Sanitation,High,1
17,Water leakage reported in Hadapsar,Hadapsar,Waste Management,High,1
18,No electricity since morning in Camp,Camp,Electricity,Low,2
19,No electricity since morning in Baner,Baner,Electricity,Medium,6
20,Streetlight not working in Baner,Baner,Sanitation,Medium,3
21,Drainage system is blocked in Kothrud,Kothrud,Electricity,Medium,7
22,Water leakage reported in Kothrud,Kothrud,Road Maintenance,High,1
23,Water leakage reported in Kothrud,Kothrud,Road Maintenance,Medium,5
24,Drainage system is blocked in Wagholi,Wagholi,Electricity,Medium,1
25,Irregular water supply in Hadapsar,Hadapsar,Sanitation,Medium,1
26,Streetlight not working in Baner,Baner,Waste Management,High,6
27,Water leakage reported in Kothrud,Kothrud,Road Maintenance,Medium,5
28,Open manhole reported in Baner,Baner,Water Supply,Medium,1
29,Broken footpath in Camp,Camp,Sanitation,High,2
30,No electricity since morning in Aundh,Aundh,Water Supply,Medium,2
31,Irregular water supply in Kharadi,Kharadi,Sanitation,High,5
32,Road has major potholes in Wagholi,Wagholi,Road Maintenance,High,2
33,Streetlight not working in Kothrud,Kothrud,Water Supply,High,3
34,Irregular water supply in Camp,Camp,Electricity,Medium,4
35,No electricity since morning in Shivaji Nagar,Shivaji Nagar,Water Supply,High,3
36,Open manhole reported in Camp,Camp,Road Maintenance,Medium,2
37,Road has major potholes in Pimpri,Pimpri,Road Maintenance,Medium,4
38,Open manhole reported in Hadapsar,Hadapsar,Electricity,Medium,3
39,Streetlight not working in Viman Nagar,Viman Nagar,Water Supply,Medium,2
40,Irregular water supply in Camp,Camp,Road Maintenance,Medium,5
41,Broken footpath in Wagholi,Wagholi,Road Maintenance,Medium,2
42,Broken footpath in Kharadi,Kharadi,Water Supply,Medium,5
43,Streetlight not working in Baner,Baner,Road Maintenance,Medium,3
44,Overflowing garbage bin in Pimpri,Pimpri,Waste Management,Medium,1
45,Drainage system is blocked in Aundh,Aundh,Waste Management,Medium,2
46,Road has major potholes in Shivaji Nagar,Shivaji Nagar,Water Supply,Medium,1
47,Drainage system is blocked in Kothrud,Kothrud,Waste Management,High,2
48,No electricity since morning in Viman Nagar,Viman Nagar,Waste Management,Medium,1
49,Overflowing garbage bin in Baner,Baner,Road Maintenance,High,7
50,Overflowing garbage bin in Viman Nagar,Viman Nagar,Road Maintenance,Medium,4
51,Open manhole reported in Baner,Baner,Waste Management,Medium,7
52,Water leakage reported in Viman Nagar,Viman Nagar,Road Maintenance,Medium,2
53,Road has major potholes in Shivaji Nagar,Shivaji Nagar,Waste Management,High,5
54,Open manhole reported in Wagholi,Wagholi,Sanitation,Medium,2
55,Irregular water supply in Baner,Baner,Water Supply,Medium,2
56,Garbage not collected in Kothrud,Kothrud,Water Supply,Medium,3
57,Open manhole reported in Kothrud,Kothrud,Road Maintenance,Medium,7
58,Road has major potholes in Baner,Baner,Sanitation,High,2
59,Overflowing garbage bin in Kharadi,Kharadi,Electricity,High,4
60,Garbage not collected in Wagholi,Wagholi,Water Supply,High,5
61,Garbage not collected in Wagholi,Wagholi,Electricity,High,2
62,Irregular water supply in Aundh,Aundh,Road Maintenance,Low,5
63,Irregular water supply in Hadapsar,Hadapsar,Waste Management,Medium,7
64,Water leakage reported in Pimpri,Pimpri,Water Supply,High,7
65,Open manhole reported in Camp,Camp,Electricity,Medium,6
66,Overflowing garbage bin in Viman Nagar,Viman Nagar,Road Maintenance,Medium,6
67,Irregular water supply in Pimpri,Pimpri,Water Supply,High,2
68,Broken footpath in Kharadi,Kharadi,Electricity,Medium,7
69,Drainage system is blocked in Hadapsar,Hadapsar,Waste Management,Medium,1
70,No electricity since morning in Pimpri,Pimpri,Water Supply,High,2
71,Garbage not collected in Viman Nagar,Viman Nagar,Water Supply,Medium,5
72,Drainage system is blocked in Aundh,Aundh,Road Maintenance,Medium,5
73,Water leakage reported in Pimpri,Pimpri,Road Maintenance,Low,2
74,Road has major potholes in Kothrud,Kothrud,Electricity,High,5
75,Irregular water supply in Camp,Camp,Sanitation,High,5
76,Garbage not collected in Camp,Camp,Electricity,Low,3
