query,organization
@justice4sid Country needs more lion forces like you.\n@DelhiPolice Arti sharma,SHO Maurice Nagar
@sureshpprabhu In old Delhi railway stn,few people have taken control of ticket vending machines & charges money 4 tkts1/2
Train no 12236,DOJ: 19.04.16 Tatkal
Today I lost my Wallet while boarding metro NDLS metro station. I lost my money,atm .@DelhiPolice @CPDelhi @DelhiMetro_Rail1/3
@DrmChennai @GMSRailway @RailMinIndia \nSir,bills reg AVD workD.Ramanathan
If you want solution of traffic Jam U-Turn is the best solution. i.e Bhajan Pura,Vasundhara Dharamsila Hospital
Sir it's being gazetted holiday today,#OddEven rule is applicable or not like Sunday
Food quality is unhygienic in Agra Jaipur Shatabdi Train April 20,Insects  a Spider
Roadside tents for functn/wedding Dwarka Sec7,Plot7
requested for coach cleaning but no body turned up. However,I was informed that RAHUL DASMob:8811819143
@gm_nfr @RailMinIndia @sureshpprabhu SIR,WHEN WE GET A REGULAR TRAIN BETWEEN GUWAHATI TO KARTA SRI MATA VAISHNO DEVI
Train#12245,24th Apr. Coach B23AC
Poll season in #Delhi \nBy-polls for MCD. Bt,what abt traffic
so would he be fine with Rs 100,500 or his licensed will be ceased directly? contd
Dear Sir @dtptraffic,\n\nPlease confirm if the new Maruti Ertiga and Ciaz car SHVS Smart Hybrid Car
: great. Who takes care of road politicians,licence centers people and dalals
@ArvindKejriwal Dear sir,\nOne fraud person or a group is doing fraud with common men in Dwarka for rented accommodation 1/3
@sureshpprabhu,\nMsg2:journey started from GWL2nd May
by their explanation evry red light jump cmes under dangerus driving,is it right? That too ven we were driving at 30kmph 2/2
My PERSONAL view- Father should go to jail too. We should learn to handle our kids and cars. Justice For Sidd.,DelhiPolice
Dear arrest this useless lady she spreading hatred. I dn't knw wat is link btwn BMJk and this incidence?,DelhiPolice
The minor was challand thrice last yr. But WHY challaned? Why wasnt stricter action taken agnst minor drivng? Cud hv saved a life!,dtptraffic
reckless driving by underage kids at Roop Nagar round about esp. Early morning. Danger to self and school going kids.,dtptraffic
Request to run a unresrvd express train from UMB to DLI at 6 AM from UMB and DLI 10 AM with same stops of 11078 Jhelum.,RailMinIndia
please please help. Traffic chaos from Khanpur to tigri. M. B. road.,dtptraffic
Pity condition of toilet of B_11 12424. Complaint to 09717630982 but of no use. Please intervene.,RailMinIndia
Retweeted PRO CR  Expect more rail services as CR completes DC to AC conversion - HT.,RailMinIndia
sir please send technical team to check red light at golok dham Chowk Rd at dwarka sec 6-10 not working from yesterday.,dtptraffic
1st class again occupied by rly staff Hope sum action taken sum day Lpi-falaknuma 8. 35mmts.,RailMinIndia
Just look at the traffic at bhairon marg . As I can see it can be solved with little effort. Plz study.,dtptraffic
We needed strong action against . Socialmedia demand Strong Action .,DelhiPolice
sir is it mandatory to paste CNG sticker on CNG car ?,dtptraffic
sir there are local train issues on western line mumbai! No trains at all! Kindly look into urgent basis please.,RailMinIndia
Stand still traffic 4m thimayya marg 2 mahi pal pur what's wrong.,dtptraffic
DL8S BK 1558 triple riding @ Ramakrishna Ashram Panchkuiya Road on 11 April 2016 @ 9. 40 am.,dtptraffic
Ratko Akshrdham k pas is Car me lge ballon khulne se piche a rhe biker k acident ho gya.,dtptraffic
5pm and it's regular to see vehicles byks wrong laning at modi Mills flyover T fm Okhla3.,dtptraffic
massive jam on dwarka to NH 8 road. under Delhi cantt jurisdiction.,dtptraffic
traffic going from wrong side now.,dtptraffic
There is no footpath available in front of gb pant hospital for pedestrians. Car parked on pavement.,dtptraffic
what is the reason for Jam.,dtptraffic
since when it's there.,dtptraffic
Just got to know- father of juvenile killer out on bail. Hope that keeps building a solid case against the delinquent driver.,DelhiPolice
trees at platfrm in hebbal help beat heat in blore. no shltr or fan reqrd.,RailMinIndia
please see the pics of jam.,dtptraffic
Water Supply From Today To Latur By really no word to express happiness just sayवाह जी.,RailMinIndia
True! Wondering why was so careless despite 3 offences.,dtptraffic
Thanks for quick response hope for quick action too. delhi traffic. delhi police. parking problem.,dtptraffic
announces the arrest of 6 autolefters recovered 36 vehicles and worked out around 50 cases.,DelhiPolice
Gud morning delhi.,DelhiPolice
shan e punjab express is the first train of india with cctv camera BIG THANKS SIR?,RailMinIndia
Inmate flees from custody of in Bawana area.,DelhiPolice
3 cops accused of extortion. Come two days after 3 were arrested on similar charges. wakeup call.,DelhiPolice
Implement SC order but simultaneously regulate traffic also as we face traffic jam on regular basis in different parts of Del.,dtptraffic
sir wanted to know if some1 has consumed alcohol n value comes as 130 only would the license be canceled for 3 months.,dtptraffic
The criminal who fled custody was accused of murder/robbery and several heinous cases. Manhunt launched.,DelhiPolice
An undertrial prisoner escapes from custody in outer Delhi's Bawana was being taken to Sonepat court.,DelhiPolice
The undertrial Deepak was arrested by after a brief encounter some weeks ago was involved in a murder case.,DelhiPolice
Dipak a prisoner accused of murder escapes from van in Bavana. He was lodged in Tihar Jail.,DelhiPolice
Very happy to see a fair action but still don't digest the delay.,dtptraffic
Sir please prove water in our coach we dnt even able to use bathrooms train name garba express way to howrah.,RailMinIndia
Sir Are heavy vehicles like roadways buses etc. allowed to ply on Barapullah Elevated Road?,dtptraffic
DL 2SN 4248 no helmet burari main road 5 april 2016 4:48 pm.,dtptraffic
SUSPEND THIS COP IMMEDIATELY.,DelhiPolice
Well done! Trust builded more! This Govt. Works for needy not greedy.,RailMinIndia
Sir my father was retired in jan 2014 and till now his D. A. has not being given.,RailMinIndia
Sir a couple of coaches in train no 12076 are ordinary chair cars instead of 2nd Jan chair cars for last 1 month.,RailMinIndia
A laudable effort by in launching an e-appeal filing system for applicants. A win-win situation for everyone involved.,IncomeTaxIndia
pnr 2541282765 traveling on 17 April with spouse and 2 daughters but cnf seats are scattered it wud be of help if seat together.,RailMinIndia
